"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"0500000US12111","St. Lucie County, Florida","108811","3814","64.8","2.5","20.6","2.1","45","2.1","5.7","1.7","2","0.9","25.6","2.3","73598","3710","27.4","2.5","32","3.4","24.9","3.1","10.2","2.5","4.2","1.2","1.3","0.8","298563","*****","73.5","1.4","19.3","1.5","0.6","0.4","2.2","0.1","0","0.1","2.2","1.3","2.2","1.6","17.9","*****","59","0.1","38.1","(X)","37.2","(X)","29.1","(X)","59220","4188","54340","3327","28651","14224","19701","901","9439","1546","1940","532","27426","4297","68715","6162","70004","17845","49890","4424","87956","8656","61170","10627","101870","16022","89274","33002","23395","1649","25422","2043","14768","2095","15203","7781","34112","14727","N","N","34114","20318","12287","4224","16070","3240","28444","2415","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12113","Santa Rosa County, Florida","60861","1910","77.4","2.1","22.1","2.5","33.7","2.2","3.9","1.1","1.1","0.7","28.5","2.8","44593","2466","18.1","2.1","31.8","4.7","33.6","4.1","8.6","2.3","6.8","2.1","1.1","0.8","167040","*****","84.7","0.8","4.8","0.8","0.4","0.3","1.9","0.5","0.2","0.1","2.4","0.9","5.7","1.2","5.4","*****","82.4","0.1","31.2","(X)","31.4","(X)","23.4","(X)","75692","4702","74496","6087","10941","3288","17975","913","10600","1537","801","687","24828","2196","83239","6115","51872","6197","73191","11627","97169","10594","74391","8403","148288","43457","135099","36606","28243","1747","29946","2004","21337","6733","22419","11155","27703","7354","19744","793","28481","15913","9349","4144","25445","7687","29984","2041","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12115","Sarasota County, Florida","177807","3612","59.1","1.7","45.9","2.1","52.3","1.4","3.7","0.7","1.1","0.4","31.2","1.8","110221","4187","33.9","1.9","29.5","2.5","23.5","2.1","6.9","1.8","5.1","1.1","1.1","0.4","405549","*****","91.5","0.4","5","0.3","0.1","0.1","1.4","0.2","0","0.1","0.5","0.3","1.4","0.4","8.8","*****","83.5","0.1","45.7","(X)","46.7","(X)","39.9","(X)","79881","3389","70861","3202","32626","3748","21496","604","11674","1522","2458","702","30243","1781","96756","4274","82365","6713","88095","9858","121841","11444","101360","24893","119909","12943","101321","16003","36620","1498","38235","1602","15569","2506","N","N","32983","14059","N","N","30158","7530","13728","8533","20494","3867","39962","1759","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12117","Seminole County, Florida","162739","2735","81","1.5","20.1","1.4","27.7","1","3.5","0.8","2","0.7","14.5","1.2","108043","3614","13","1.7","34.2","2.5","34.3","2.1","8.6","1.4","7.9","1.6","2","0.6","449144","*****","78.9","0.9","11.6","0.7","0.2","0.1","4.2","0.3","0.1","0.1","2.1","0.7","2.8","0.6","19.8","*****","62.3","0.5","45.4","(X)","44.3","(X)","37.9","(X)","78043","2654","79824","2752","14961","2308","19703","655","9805","1063","1858","677","23135","2357","93668","4111","44981","5739","77837","6482","119446","6487","82098","9914","141578","15416","98556","18693","30269","954","32673","1174","20102","1998","39908","29794","30533","6245","N","N","16980","3616","14440","3556","20204","1771","35660","1332","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12119","Sumter County, Florida","51170","3126","33.6","4.4","42.1","5.1","77.3","3","1.8","0.9","0.5","0.3","53.8","4.7","33695","3081","N","N","N","N","N","N","N","N","N","N","N","N","118891","*****","91.9","1.6","5.2","1.4","0.5","0.4","0.1","0.1","0","0.2","1.4","0.6","1","0.5","5.7","*****","88.1","1.4","33.9","(X)","36.4","(X)","30.6","(X)","69104","5695","49467","6517","29146","9682","24414","1172","8872","1195","N","N","31342","4532","81274","7146","N","N","N","N","N","N","N","N","N","N","N","N","33635","2976","35703","3267","8752","3322","15808","6236","N","N","N","N","9755","5928","15849","6275","9520","3510","36784","3333","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12127","Volusia County, Florida","209657","3139","65","1.2","23.9","1.6","43.5","1.1","4.6","0.7","2","0.4","26.3","1.4","128752","3899","27.4","1.4","34.3","2","23.8","1.6","7.3","1.2","5.6","0.9","1.7","0.6","517887","*****","83.7","0.6","11","0.4","0.2","0.1","1.8","0.2","0.1","0.1","1.3","0.5","1.9","0.4","12.7","*****","73.1","0.1","38.4","(X)","37.3","(X)","30.3","(X)","59045","3122","58794","4123","16976","5593","19307","461","10630","1003","2521","798","23667","1863","69530","4047","46709","2680","63837","10335","93848","5948","75481","12381","103424","8789","75269","11103","25212","1185","26808","1256","15152","1471","18212","7606","17546","5456","N","N","16558","5964","27512","23887","18355","3195","27892","1374","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13013","Barrow County, Georgia","24100","1060","80","3","14.4","2.3","30.9","3","5.1","1.9","1.6","1.4","19.8","2.8","18041","1291","13.1","2.9","37.1","4.5","29","4.4","9","2.7","8.4","3.3","3.5","2.1","75370","*****","80.2","1.7","10.6","1.2","0.1","0.1","3.3","0.7","0","0.3","2.9","1.7","2.9","1.4","10","*****","72.9","0.3","34.1","(X)","33.2","(X)","26.1","(X)","71547","9288","67818","7964","42241","34048","18109","1469","10196","3824","3757","1220","19740","3498","79427","12297","54564","26011","42953","5384","124003","37580","101743","32003","97928","11077","88657","27488","24214","3105","26298","3867","18231","3388","N","N","12037","6263","N","N","13859","5915","13002","6548","13352","3781","27630","4316","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13015","Bartow County, Georgia","37016","1119","80","2.7","10.3","2.2","30.9","3.4","7.4","2.5","7.1","2.8","19.4","2.7","27144","1822","16","2.9","36.4","5.1","28.4","4.7","10.8","4.2","6.1","2.4","2.3","1.5","102747","*****","80","1.2","11.4","0.2","0.7","0.7","0.8","0.6","0","0.2","5.8","1.8","1.3","1","8.3","*****","78.1","0.2","38.3","(X)","38.5","(X)","26.1","(X)","64420","6676","60363","4515","N","N","19783","1723","10694","2287","4158","1066","19722","3024","68101","7333","56781","31723","48151","5054","85671","9938","57512","14450","135375","32823","117591","31126","23571","2330","25946","2790","16201","2521","N","N","8671","1703","N","N","10955","3216","14067","5758","14644","4531","25915","2877","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13021","Bibb County, Georgia","59795","1428","72","2.4","11.9","1.7","31.3","2.1","8.6","1.7","1.7","0.8","18.7","1.9","35842","1929","18","2.6","36.9","4","29.9","3.6","8.7","2.9","4","1.8","2.4","1.2","153721","*****","41.1","0.6","54.9","0.6","0.1","0.1","1.9","0.2","0","0.1","1.1","0.7","0.9","0.5","3.2","*****","39.8","0.1","37.1","(X)","40.1","(X)","29","(X)","56526","3986","56631","3395","32473","23947","16679","1033","9097","836","4263","2577","25260","3337","68143","4813","51283","17090","48738","6846","92650","8775","61780","13962","138375","29710","91838","37953","22974","1750","31509","2478","16874","2527","N","N","30742","13186","N","N","6213","4697","7513","3558","15931","5040","31917","2615","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13031","Bulloch County, Georgia","26495","1394","83.1","4.2","11.5","2.7","26.5","3.9","3.8","1.8","0.9","0.8","13.5","2.9","16922","1620","N","N","N","N","N","N","N","N","N","N","N","N","72651","*****","65.5","0.9","29","1.3","0.4","0.6","2.2","0.3","0","0.3","1.6","1.2","1.4","1.1","3.8","*****","63.7","0.3","43.3","(X)","45.4","(X)","31.2","(X)","51328","5350","47694","5536","14817","9235","16580","1624","9163","2018","N","N","27756","6959","62900","7506","N","N","N","N","N","N","N","N","N","N","N","N","19078","1663","22058","2286","13794","2166","N","N","22864","14323","N","N","6751","5305","2314","2250","12156","6015","22204","2330","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13045","Carroll County, Georgia","41251","1303","76.8","2.9","11.2","2.6","33.3","3.1","7.5","2.6","1.2","0.9","14","2.6","29164","1710","17","3.4","36.6","5.5","31.2","5.7","7.1","2.2","5.3","2.3","2.8","1.9","114545","*****","76","1.2","19.3","0.9","0.2","0.3","0.7","0.4","0","0.1","1.6","1.1","2.1","1","6.7","*****","71.1","0.7","41.2","(X)","40.3","(X)","28.7","(X)","59892","7955","63500","10246","7784","3213","17436","1611","7006","1501","1040","639","19017","4489","69517","10737","33609","6746","59731","18491","92562","22617","64000","12827","101577","19272","112838","45459","22007","2728","24814","3584","12542","2464","N","N","18340","10464","N","N","N","N","19903","10397","18591","7415","25074","3574","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13047","Catoosa County, Georgia","24900","742","75.9","3.7","17.6","4.2","38.7","3.8","6.5","2.9","1.3","1.5","18.2","4","16804","1479","N","N","N","N","N","N","N","N","N","N","N","N","66050","*****","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","29","(X)","32.3","(X)","22.8","(X)","62961","5078","64585","5624","6824","3434","18130","1777","8172","1490","N","N","17623","4143","74777","6816","N","N","N","N","N","N","N","N","N","N","N","N","24923","2024","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13051","Chatham County, Georgia","108249","2559","78.9","1.6","16.8","1.6","30.4","1.6","3.9","0.9","1","0.4","17.9","1.7","67959","3289","16","1.8","35.8","3.1","28.5","2.8","12.4","2.1","5.2","1.6","2","0.8","286956","*****","52.8","0.6","39.4","0.7","0.4","0.2","3","0.2","0","0.1","1.5","0.6","2.8","0.8","6.2","*****","49.3","0.1","41.3","(X)","43.2","(X)","34.5","(X)","66406","2975","64627","3680","22451","6137","18429","763","10150","1811","1435","342","24817","2878","75923","4942","51357","7215","64252","10227","105363","8684","60757","8373","109248","12540","69833","15199","26300","1215","33004","1802","19313","2023","26158","11818","21388","4433","N","N","10768","4619","11999","3863","14905","2286","34107","1956","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13057","Cherokee County, Georgia","82664","1576","84.1","2.2","21.3","2.2","25.7","1.8","2.2","1","0.6","0.4","16.8","1.9","61740","2631","N","N","N","N","N","N","N","N","N","N","N","N","235900","*****","87.5","1.2","6.5","0.4","0.1","0.2","1.8","0.3","0","0.1","1.6","1","2.5","0.8","10.1","*****","79.5","0.3","34.1","(X)","31.6","(X)","24.9","(X)","87371","4227","89527","4167","10155","4045","18930","1344","11507","3021","1770","562","23116","3389","99090","5202","N","N","N","N","N","N","N","N","N","N","N","N","31627","1485","32817","1665","27579","3754","N","N","21328","5582","N","N","14486","7383","20114","6203","14334","3050","34642","1803","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13059","Clarke County, Georgia","46556","1439","78.9","2.9","16.6","2.5","21.3","1.7","5.4","1.7","0.9","0.5","12.4","2.2","21500","1767","16.8","3.8","40.4","6.2","30.4","4.7","6.4","2.4","2.9","1.6","3.1","1.7","123912","*****","63.1","1.5","27.2","0.6","0","0.1","4","0.6","0.2","0.3","3.1","1.4","2.3","0.8","10.6","*****","55.9","0.2","32.7","(X)","33.4","(X)","26.5","(X)","50067","3987","44423","2987","27663","10313","17587","1037","7734","1485","N","N","41445","16129","69683","7710","40361","10361","61049","15153","95564","13177","64962","18805","113229","70024","56215","22173","20040","1371","23631","1820","14404","3577","N","N","16733","6062","N","N","5881","2712","14386","9098","8744","1371","25354","1975","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13063","Clayton County, Georgia","90373","2455","83.5","1.9","5.2","1.1","21.9","1.7","5.4","1.2","2","0.7","15.1","1.4","59837","3390","12.5","2.3","39.1","3.7","20.9","3.1","14.4","2.6","7.6","1.9","5.5","1.5","273955","*****","20.1","1.3","67","0.7","0.1","0.1","5.3","0.1","0","0.1","5.4","1.4","2.1","0.8","13","*****","12.7","0.4","43.4","(X)","45.3","(X)","32.5","(X)","52686","2997","51580","3125","20493","18740","16885","1004","9014","756","2561","897","20371","2268","55639","3095","33918","5591","37901","3009","79830","8583","55843","6230","91274","11976","89562","10034","18601","977","18507","2092","19661","1247","N","N","14863","1859","N","N","13392","2778","8556","3788","12276","2044","22539","2531","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13067","Cobb County, Georgia","274468","2387","85.9","0.9","19.8","1.1","21.6","0.9","2.5","0.5","0.7","0.3","14.6","1","189592","4798","10.1","1.1","31.6","1.9","36.9","1.7","9.9","1.3","8.3","1.1","3.3","0.7","741334","*****","59.5","0.9","26.9","0.6","0.1","0.1","5.1","0.2","0.1","0.1","5.6","0.9","2.7","0.5","12.8","*****","52.9","0.2","33.4","(X)","34.8","(X)","25.9","(X)","92046","3102","89889","2667","24219","6026","20332","916","8452","822","2086","660","26266","2523","105513","3939","57542","11837","84746","6085","132863","5553","91318","15587","137179","8903","108212","39202","34806","1204","40858","1593","26006","1892","25198","16285","37446","7451","21514","13062","14416","1962","27217","8243","18838","3678","42968","1421","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13073","Columbia County, Georgia","46821","1840","82.2","2.7","23.8","3.1","27.9","2.8","3.9","1.7","1.4","1","28","3","36263","1990","15.3","3.3","34.2","4.3","34.8","5","8.3","2.7","6.8","2.4","0.7","0.5","144052","*****","74.7","1.1","16.3","1.4","0.3","0.5","2.9","0.9","0","0.1","1.3","1","4.5","1.6","6.5","*****","69.3","0.5","38.4","(X)","35.4","(X)","26.7","(X)","89848","6236","83183","4672","23891","19116","20320","1960","8991","2702","N","N","26219","3378","95931","8657","72261","40261","81119","10336","116797","10949","88189","16564","130450","19029","58373","10694","30510","2178","32875","2651","22700","3939","N","N","30735","16583","N","N","15712","10299","22331","8481","18344","5240","34223","2859","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13077","Coweta County, Georgia","50353","1067","80.5","2.7","18.8","3.3","30","2.1","4.2","1.2","1","0.6","20.6","2.6","38617","1659","15","2.8","33.6","4.9","32.9","4.1","5.6","1.8","9.8","2.7","3.1","1.5","138427","*****","76.3","1.1","18.5","0.5","0.1","0.1","1.6","0.5","0","0.1","1","0.7","2.5","1.1","6.8","*****","71.7","0.2","40.2","(X)","42.4","(X)","32.5","(X)","77445","3404","78333","4504","9681","2968","18744","1272","9058","1923","295","93","25024","2745","84675","4286","44571","6118","65250","9209","109489","7188","73865","14689","132857","14166","92753","29679","28180","1127","31439","1537","18365","2167","N","N","13274","8355","N","N","26634","10014","11474","6822","14231","4207","32442","1569","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13089","DeKalb County, Georgia","276631","3434","84.4","1","17.1","1","22","0.7","4.2","0.5","1","0.3","14.1","1","160727","4210","10.5","1.1","37.5","1.9","30.6","1.7","12.3","1.3","5.4","0.9","3.6","0.8","734871","*****","34.8","0.6","54","0.6","0.8","0.3","6","0.2","0","0.1","2.3","0.5","2.1","0.4","8.8","*****","29.6","0.1","37.5","(X)","40.5","(X)","29.3","(X)","78107","2174","78434","2290","15460","3276","17184","614","9386","789","2171","643","27414","2524","91856","3598","48654","7809","69200","5223","137617","6214","69622","7049","131012","12864","82243","7178","30731","876","47184","1969","21601","881","16803","7782","29163","3890","N","N","13524","3479","21194","7349","14942","1929","52669","2180","(X)","(X)","(X)","(X)","(X)","(X)"
